Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 11/17  10:00:00,0.843902186,4.389051119,0,3.363136469,0.090049568,0.090049568,0.090049568,0.10662278,0.022091034,0.334037085,0.27575372,1.006919685
 11/17  11:00:00,0.865823691,5.017395708,0,4.109019028,0.110020926,0.110020926,0.110020926,0.090629363,0.018777379,0.348809033,0.282238991,0.888934984
 11/17  12:00:00,0.862169488,4.17013145,0,3.367085483,0.090155305,0.090155305,0.090155305,0.090629363,0.018777379,0.364933981,0.282325461,0.783598315
 11/17  13:00:00,0.838021947,3.705570182,0,2.984985484,0.079924397,0.079924397,0.079924397,0.090629363,0.018777379,0.355773214,0.277569596,0.701464648
 11/17  14:00:00,0.809171177,3.484617146,0,2.81213694,0.075296295,0.075296295,0.075296295,0.090629363,0.018777379,0.321952343,0.287167797,0.652698995
 11/17  15:00:00,0.810454601,3.343017821,0,2.717933412,0.072773951,0.072773951,0.072773951,0.101291641,0.020986482,0.296716788,0.303337739,0.604189351
 11/17  16:00:00,0.885992418,3.242681095,0,2.610241785,0.069890457,0.069890457,0.069890457,0.143940752,0.02982291,0.306790856,0.320199443,0.610382753
 11/17  17:00:00,1.134109258,3.210339015,0,2.515338927,0.067349388,0.067349388,0.067349388,0.26122581,0.054123048,0.35732319,0.378739822,0.668911047
 11/17  18:00:00,1.566501725,3.923278455,0,3.097598213,0.082939656,0.082939656,0.082939656,0.46380916,0.096096026,0.448200529,0.460108355,0.793986227
 11/17  19:00:00,1.770301874,3.088807625,0,2.144963685,0.057432416,0.057432416,0.057432416,0.634405538,0.131441695,0.402135423,0.499538802,0.909433805
 11/17  20:00:00,1.668091058,2.879606484,0,1.91578717,0.051296107,0.051296107,0.051296107,0.634405538,0.131441695,0.319977444,0.515622274,0.928301288
 11/17  21:00:00,1.590565815,2.883023129,0,1.986473775,0.053188774,0.053188774,0.053188774,0.586425287,0.12150073,0.280754343,0.533348681,0.859810266
 11/17  22:00:00,1.454851733,2.933206837,0,2.120929417,0.056788887,0.056788887,0.056788887,0.495795925,0.102723337,0.263298624,0.520896961,0.776396053
 11/17  23:00:00,1.186059885,3.106406428,0,2.432070066,0.065119825,0.065119825,0.065119825,0.367848589,0.076214096,0.21075981,0.450769564,0.643285638
 11/17  24:00:00,0.930333823,3.283106132,0,2.756678418,0.073811367,0.073811367,0.073811367,0.255894671,0.053018496,0.140550925,0.391710364,0.499445213
 11/18  01:00:00,0.681781552,3.522487328,0,3.139845291,0.084070841,0.084070841,0.084070841,0.133278474,0.027613807,0.097466295,0.324004135,0.360323398
 11/18  02:00:00,0.582416224,3.726158712,0,3.421102939,0.091601647,0.091601647,0.091601647,0.079967085,0.016568276,0.080608754,0.298322463,0.284506186
 11/18  03:00:00,0.540936001,4.00600885,0,3.72198986,0.099658037,0.099658037,0.099658037,0.05331139,0.01104552,0.066709403,0.294863651,0.263707659
 11/18  04:00:00,0.536241338,4.308061101,0,4.018451036,0.107595925,0.107595925,0.107595925,0.05331139,0.01104552,0.058227425,0.290713078,0.269584642
 11/18  05:00:00,0.543906228,4.627234649,0,4.277116312,0.11452181,0.11452181,0.11452181,0.05331139,0.01104552,0.069948156,0.279731353,0.330849376
 11/18  06:00:00,0.600860479,5.039182015,0,4.422617997,0.118417686,0.118417686,0.118417686,0.058642536,0.012150073,0.084144476,0.312157707,0.595061406
 11/18  07:00:00,0.779368441,6.220795826,0,5.105256675,0.136695659,0.136695659,0.136695659,0.101291641,0.020986482,0.144379125,0.360667534,1.090694998
 11/18  08:00:00,1.025291346,6.527465962,0,5.269255144,0.141086796,0.141086796,0.141086796,0.197252142,0.040868427,0.232499704,0.383236277,1.231812044
 11/18  09:00:00,0.99726031,5.749251473,0,4.523643819,0.1211227,0.1211227,0.1211227,0.191921003,0.039763875,0.305100596,0.324004135,1.203289016
 11/18  10:00:00,0.909551378,5.248314728,0,4.133174571,0.110667702,0.110667702,0.110667702,0.10662278,0.022091034,0.379068143,0.27575372,1.09614519
